column,category,count,defaults,default_rate
NAME_CONTRACT_TYPE,Cash loans,278232,23221,0.08345912763449208
NAME_CONTRACT_TYPE,Revolving loans,29279,1604,0.05478329177909082
CODE_GENDER,F,202448,14170,0.06999328222555916
CODE_GENDER,M,105059,10655,0.1014192025433328
CODE_GENDER,XNA,4,0,0.0
FLAG_OWN_CAR,N,202924,17249,0.08500226685852831
FLAG_OWN_CAR,Y,104587,7576,0.07243730100299273
FLAG_OWN_REALTY,N,94199,7842,0.08324929139375152
FLAG_OWN_REALTY,Y,213312,16983,0.07961577407740775
NAME_INCOME_TYPE,Businessman,10,0,0.0
NAME_INCOME_TYPE,Commercial associate,71617,5360,0.07484256531270508
NAME_INCOME_TYPE,Maternity leave,5,2,0.4
NAME_INCOME_TYPE,Pensioner,55362,2982,0.053863660994906255
NAME_INCOME_TYPE,State servant,21703,1249,0.05754964751416855
NAME_INCOME_TYPE,Student,18,0,0.0
NAME_INCOME_TYPE,Unemployed,22,8,0.36363636363636365
NAME_INCOME_TYPE,Working,158774,15224,0.09588471664126369
