column,bin,count,defaults,default_rate
AMT_ANNUITY,"(104179.5, 129820.5]",302,6,0.019867549668874173
AMT_ANNUITY,"(129820.5, 155461.5]",61,1,0.01639344262295082
AMT_ANNUITY,"(155461.5, 181102.5]",22,0,0.0
AMT_ANNUITY,"(1615.499, 27256.5]",178956,14491,0.08097521178390218
AMT_ANNUITY,"(181102.5, 206743.5]",5,0,0.0
AMT_ANNUITY,"(206743.5, 232384.5]",33,0,0.0
AMT_ANNUITY,"(232384.5, 258025.5]",1,0,0.0
AMT_ANNUITY,"(27256.5, 52897.5]",112452,9439,0.08393803578415679
AMT_ANNUITY,"(52897.5, 78538.5]",14399,842,0.058476283075213555
AMT_ANNUITY,"(78538.5, 104179.5]",1268,46,0.03627760252365931
