column,bin,count,defaults,default_rate
AMT_CREDIT,"(1246500.0, 1647000.0]",18768,1057,0.05631926683716965
AMT_CREDIT,"(1647000.0, 2047500.0]",4847,221,0.045595213534144835
AMT_CREDIT,"(2047500.0, 2448000.0]",1030,26,0.02524271844660194
AMT_CREDIT,"(2448000.0, 2848500.0]",372,12,0.03225806451612903
AMT_CREDIT,"(2848500.0, 3249000.0]",23,2,0.08695652173913043
AMT_CREDIT,"(3249000.0, 3649500.0]",8,0,0.0
AMT_CREDIT,"(3649500.0, 4050000.0]",12,1,0.08333333333333333
AMT_CREDIT,"(445500.0, 846000.0]",112729,10285,0.09123650524709702
AMT_CREDIT,"(44999.999, 445500.0]",125109,10284,0.08220032131980913
AMT_CREDIT,"(846000.0, 1246500.0]",44613,2937,0.06583282899603254
