column,bin,count,defaults,default_rate
DAYS_BIRTH,"(-11037.0, -9263.0]",33111,3687,0.11135272266014315
DAYS_BIRTH,"(-12811.0, -11037.0]",38424,3916,0.10191546949823027
DAYS_BIRTH,"(-14585.0, -12811.0]",41746,3737,0.0895175585684856
DAYS_BIRTH,"(-16359.0, -14585.0]",40356,3185,0.07892258895827138
DAYS_BIRTH,"(-18133.0, -16359.0]",34339,2558,0.07449255948047409
DAYS_BIRTH,"(-19907.0, -18133.0]",33544,2278,0.06791080372048652
DAYS_BIRTH,"(-21681.0, -19907.0]",32650,1826,0.05592649310872894
DAYS_BIRTH,"(-23455.0, -21681.0]",27685,1466,0.052952862560953586
DAYS_BIRTH,"(-25229.001, -23455.0]",11977,503,0.04199716122568256
DAYS_BIRTH,"(-9263.0, -7489.0]",13679,1669,0.1220118429709774
