column,bin,count,defaults,default_rate
DAYS_EMPLOYED,"(-17912.001, 20403.5]",252137,21835,0.0865997453765215
DAYS_EMPLOYED,"(135350.0, 173665.5]",0,0,
DAYS_EMPLOYED,"(173665.5, 211981.0]",0,0,
DAYS_EMPLOYED,"(20403.5, 58719.0]",0,0,
DAYS_EMPLOYED,"(211981.0, 250296.5]",0,0,
DAYS_EMPLOYED,"(250296.5, 288612.0]",0,0,
DAYS_EMPLOYED,"(288612.0, 326927.5]",0,0,
DAYS_EMPLOYED,"(326927.5, 365243.0]",55374,2990,0.05399646043269404
DAYS_EMPLOYED,"(58719.0, 97034.5]",0,0,
DAYS_EMPLOYED,"(97034.5, 135350.0]",0,0,
